,approvedSymbol,approvedName,prefName,drugType,drugId,phase,ctIds,id,disease
0,NDUFB3,NADH:ubiquinone oxidoreductase subunit B3,METFORMIN HYDROCHLORIDE,Small molecule,CHEMBL1703,4.0,[],MONDO_0005148,type 2 diabetes mellitus
1,GLP1R,glucagon like peptide 1 receptor,EXENATIDE,Protein,CHEMBL414357,4.0,"['NCT03331289', 'NCT02981069']",MONDO_0005148,type 2 diabetes mellitus
2,KCNJ8,potassium inwardly rectifying channel subfamily J member 8,DIAZOXIDE,Small molecule,CHEMBL181,4.0,['NCT01028846'],MONDO_0005148,type 2 diabetes mellitus
3,NDUFS7,NADH:ubiquinone oxidoreductase core subunit S7,METFORMIN HYDROCHLORIDE,Small molecule,CHEMBL1703,4.0,[],MONDO_0005148,type 2 diabetes mellitus
4,ADORA2A,adenosine A2a receptor,PENTOXIFYLLINE,Small molecule,CHEMBL628,4.0,['NCT01382303'],MONDO_0005148,type 2 diabetes mellitus
5,NDUFB9,NADH:ubiquinone oxidoreductase subunit B9,METFORMIN,Small molecule,CHEMBL1431,4.0,['NCT02911792'],MONDO_0005148,type 2 diabetes mellitus
6,HMGCR,3-hydroxy-3-methylglutaryl-CoA reductase,SIMVASTATIN,Small molecule,CHEMBL1064,4.0,"['NCT02305355', 'NCT00471549']",MONDO_0005148,type 2 diabetes mellitus
7,NDUFA11,NADH:ubiquinone oxidoreductase subunit A11,METFORMIN HYDROCHLORIDE,Small molecule,CHEMBL1703,4.0,['NCT01510522'],MONDO_0005148,type 2 diabetes mellitus
8,KCNJ11,potassium inwardly rectifying channel subfamily J member 11,GLIMEPIRIDE,Small molecule,CHEMBL1481,4.0,"['NCT02142309', 'NCT01565096', 'NCT01660386', 'NCT02426294', 'NCT02301806', 'NCT01547104', 'NCT00699322', 'NCT02919059']",MONDO_0005148,type 2 diabetes mellitus
9,VDR,vitamin D receptor,ERGOCALCIFEROL,Small molecule,CHEMBL1536,4.0,['NCT02112721'],MONDO_0005148,type 2 diabetes mellitus
